LCC,Yr.,Title
B4279.U73 T43 1981,1981 H,"Tertium Organum: The Third Canon of Thought, A Key to the Enigmas of the World"
B430 .A5179 1985,1985,Aristotle: Nicomachean Ethics
B430 .A5179 1985,1985,Aristotle: Nicomachean Ethics
B430 .A8 S7518 1985,1985 P,Nicomachean Ethics
B430 .A8 S7518 1985,1985 P,Nicomachean Ethics
B4372 .E5 B7,1946,A Kierkegaard Anthology
B4568.O73 Q4313 1960,1960 P,What is Philosophy?
B485 .A3,1981,Aristotle the Philosopher
B485 .A3,1981,Aristotle the Philosopher
B485 .M6,1979,Aristotle's Categories and De Interpretatione
B485 .R3 1995,1995,Aristotle
B485 .R3 1995,1995,Aristotle
B504 .S2,1966,Greek and Roman Philosophy after Aristotle
B504 .S2,1966,Greek and Roman Philosophy after Aristotle
B505 .C55,1940,Selections form Hellenistic Philosophy
B505 .C55,1940,Selections form Hellenistic Philosophy
B505 .H45 1988,1988,Hellenistic Philosophy: Introductory Readigs
B505 .H45 1988,1988,Hellenistic Philosophy: Introductory Readigs
B505 .H8 1904,1094,From Epicurus to Christ
B505 .H8 1904,1094,From Epicurus to Christ
B51 .O94 2005,2005,The Oxford Companion to Philosophy
B51.094 1995,2005,The Oxford Companion to Philosophy
B51.094 1995,2005,The Oxford Companion to Philosophy
B5134 .K75 1969,1969 P,Freedom from the Known
B5134 .K75 1969,1969 P,Freedom from the Known
B5134 .K75 1980,1980 H,"From Darkness to Light: The Collected Works of Krishnamurti, Vol. I"
B5134 .K75 1980,1980 H,"From Darkness to Light: The Collected Works of Krishnamurti, Vol. I"
B5134 .K75 A9 1973,1973 H,The Awakening of Intelligence
B5134 .K75 A9 1973,1973 H,The Awakening of Intelligence
B5134 .K753 F57 1973,1973 P,The Flame of Attention
B5134 .K753 F57 1973,1973 P,The Flame of Attention
B5134 .K754 C48 1985,1985 O,One Thousand Moons: Krishnamurti at Eighty-Five
B5134 .K754 C48 1985,1985 O,One Thousand Moons: Krishnamurti at Eighty-Five
B5134.K753 .M55 1982,1982 P,"The Mirror of Relationship: Love, Sex and Chasity"
